date,home_team,away_team,home_team_continent,away_team_continent,home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,home_team_score,away_team_score,tournament,city,country,neutral_location,shoot_out,home_team_result,home_team_goalkeeper_score,away_team_goalkeeper_score,home_team_mean_defense_score,home_team_mean_offense_score,home_team_mean_midfield_score,away_team_mean_defense_score,away_team_mean_offense_score,away_team_mean_midfield_score,home_sum,away_sum,year,home_win,home_draw,home_lose
2020.10.7,Slovenia,San Marino,Europe,Europe,64,210,1368,811,4,0,Friendly,Ljubljana,Slovenia,FALSE,No,Win,91,,72,78.3,76.5,,,,317.8,,2020,TRUE,FALSE,FALSE
2020.10.7,Switzerland,Croatia,Europe,Europe,15,8,1600,1628,1,2,Friendly,St. Gallen,Switzerland,FALSE,No,Lose,85,80,76,77,77,78,82,86,315,326,2020,FALSE,FALSE,TRUE
2020.10.7,Zambia,Malawi,Africa,Africa,88,123,1279,1141,1,0,Friendly,Lusaka,Zambia,FALSE,No,Win,,,,70.3,,,,,70.3,,2020,TRUE,FALSE,FALSE
2020.10.8,Belgium,Côte d'Ivoire,Europe,Africa,1,60,1773,1378,1,1,Friendly,Brussels,Belgium,FALSE,No,Draw,90,69,80,87,82,77.8,81,77.2,339,305,2020,FALSE,TRUE,FALSE
2020.10.8,England,Wales,Europe,Europe,4,21,1664,1550,3,0,Friendly,London,England,FALSE,No,Win,82,74,82,89,85,74,77,72,338,297,2020,TRUE,FALSE,FALSE
2020.10.8,Russia,Sweden,Europe,Europe,32,18,1485,1567,1,2,Friendly,Moscow,Russia,FALSE,No,Lose,80,78,77.5,77.7,78.2,76.5,79.3,76.8,313.4,310.6,2020,FALSE,FALSE,TRUE
2020.10.8,South Africa,Namibia,Africa,Africa,71,117,1334,1160,1,1,Friendly,Rustenburg,South Africa,FALSE,No,Draw,73,,71,73.3,72.8,,,,290.1,,2020,FALSE,TRUE,FALSE
2020.10.8,Uzbekistan,IR Iran,Asia,Asia,85,30,1290,1489,1,2,Friendly,Tashkent,Uzbekistan,FALSE,No,Lose,,72,,,66,71,78,73,66,294,2020,FALSE,FALSE,TRUE
2020.10.8,Paraguay,Peru,South America,South America,40,22,1461,1544,2,2,FIFA World Cup qualification,Asunción,Paraguay,FALSE,No,Draw,72,73,74.8,74.7,77.5,72.2,72,75.2,299,292.4,2020,FALSE,TRUE,FALSE
2020.10.8,Uruguay,Chile,South America,South America,6,17,1645,1579,2,1,FIFA World Cup qualification,Montevideo,Uruguay,FALSE,No,Win,79,77,80,83,80,76,75.3,81,322,309.3,2020,TRUE,FALSE,FALSE
2020.10.8,Argentina,Ecuador,South America,South America,9,64,1623,1368,1,0,FIFA World Cup qualification,Buenos Aires,Argentina,FALSE,No,Win,84,70,82,87,80,74,76,70,333,290,2020,TRUE,FALSE,FALSE
2020.10.8,Iceland,Romania,Europe,Europe,41,34,1457,1483,2,1,UEFA Euro qualification,Reykjavík,Iceland,FALSE,No,Win,70,78,72.2,72,74.5,73.8,74.3,74.8,288.7,300.9,2020,TRUE,FALSE,FALSE
2020.10.8,Bulgaria,Hungary,Europe,Europe,60,52,1378,1418,1,3,UEFA Euro qualification,Sofia,Bulgaria,FALSE,No,Lose,66,85,68.5,70.7,66.5,73,70.3,72.5,271.7,300.8,2020,FALSE,FALSE,TRUE
2020.10.8,Bosnia and Herzegovina,Northern Ireland,Europe,Europe,50,38,1426,1468,1,1,UEFA Euro qualification,Sarajevo,Bosnia and Herzegovina,FALSE,Yes,Lose,75,69,74,76.3,80,75.2,65.7,72,305.3,281.9,2020,FALSE,FALSE,TRUE
2020.10.8,Slovakia,Republic of Ireland,Europe,Europe,36,37,1479,1475,0,0,UEFA Euro qualification,Bratislava,Slovakia,FALSE,Yes,Win,83,75,77.8,67.7,77.8,79,73.3,75.2,306.3,302.5,2020,TRUE,FALSE,FALSE
2020.10.8,Scotland,Israel,Europe,Europe,49,93,1428,1265,0,0,UEFA Euro qualification,Glasgow,Scotland,FALSE,Yes,Win,74,68,77.8,73.7,78,,78.3,69.8,303.5,216.1,2020,TRUE,FALSE,FALSE
2020.10.8,Norway,Serbia,Europe,Europe,44,31,1452,1486,1,2,UEFA Euro qualification,Oslo,Norway,FALSE,No,Lose,77,73,75.2,79.3,79,72,81,80,310.5,306,2020,FALSE,FALSE,TRUE
2020.10.8,Georgia,Belarus,Europe,Europe,89,87,1274,1282,1,0,UEFA Euro qualification,Tbilisi,Georgia,FALSE,No,Win,76,,68,,72,,,,216,,2020,TRUE,FALSE,FALSE
2020.10.8,North Macedonia,Kosovo,Europe,Europe,66,116,1351,1167,2,1,UEFA Euro qualification,Skopje,North Macedonia,FALSE,No,Win,71,69,67.8,72.7,75,71.8,75,72.8,286.5,288.6,2020,TRUE,FALSE,FALSE
2020.10.9,Burkina Faso,Congo DR,Africa,Africa,59,57,1381,1389,3,0,Friendly,Mohammedia,Morocco,TRUE,No,Win,75,64,70.8,70.7,67.2,75.2,77.7,73,283.7,289.9,2020,TRUE,FALSE,FALSE
